category,product_name,product_code,description,pricing_model,unit_price,unit_basis,tier_min_ees,tier_max_ees,monthly_minimum,one_time_fee,setup_fee,billing_frequency,required_dependencies,conditions,effective_date,source_file,source_page
"RM","Additonal Paygroups Setup fee -1099 contractor Pay Groups","0","Pay Groups- COR only Just Payroll or Payroll+HR","One-Time (Fixed)","N/A","Fixed","501","1500","N/A","$1,000.00","N/A","N/A","N/A","First Notes: Pay Groups- COR only Just Payroll or Payroll+HR","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 11 of 413"
"RM","Additonal Paygroups Setup fee -1099 contractor Pay Groups","0","Pay Groups- COR only Just Payroll or Payroll+HR","One-Time (Fixed)","N/A","Fixed","1500","no maximum","N/A","$2,000.00","N/A","N/A","N/A","First Notes: Pay Groups- COR only Just Payroll or Payroll+HR","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 12 of 413"
"RM","Enhanced Org Chart","9111","Everything in Org Chart, plus unlimited custom org charts, advanced chart views including matrix and dotted-line reporting, automatic email scheduling, historical org chart access and integration with up to three data sources.","PEPM","$1.25","PEPM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 13 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$6.00","PEPM","1","99","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 14 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$5.85","PEPM","100","249","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 15 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$5.70","PEPM","250","499","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 16 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$5.55","PEPM","500","999","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 17 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$5.40","PEPM","100","1499","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 18 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$5.25","PEPM","1500","2499","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 19 of 413"
"RM","isolved Benefits Adminstration","9026","25 EE min- Streamline benefit plan setup, enrollment and ongoing administration, while reducing HR workload and improving accuracy and compliance. isolved Benefits Administration also helps employees confidently choose the right plans with AI-powered Benefits Guidance, balancing cost and coverage.","PEPM","$5.10","PEPM","2500","no maximum","N/A","$12.65","N/A","N/A","N/A","First Notes: 25 Employee Minimum | One-Time Fee: $12.65 (One-Time UOM: Per EE) in addition to recurring fee","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 20 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$1,450.00","Monthly","0","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 21 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$1,575.00","Monthly","11","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 22 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$2,700.00","Monthly","26","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 23 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$2,925.00","Monthly","51","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 24 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$4,450.00","Monthly","76","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 25 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$5,725.00","Monthly","101","150","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 26 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$6,450.00","Monthly","151","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 27 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$7,400.00","Monthly","201","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 28 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$8,475.00","Monthly","251","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 29 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$9,425.00","Monthly","301","350","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 30 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$10,275.00","Monthly","351","400","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 31 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$11,050.00","Monthly","401","450","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 32 of 413"
"RM","isolved Hiring & HR Services Complete","9014","Comprehensive bundle of isolved Hiring Services Premium and isolved HR Services Elite designed to meet strategic business needs with access to a dedicated HR Business Partner, advanced tools, compliance resources, performance management guidance, and more.","Monthly","$11,700.00","Monthly","451","500","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 33 of 413"
"RM","isolved Hiring Services – Brand & Social Boost","9007","A one-time service add-on that offers tailored content across social platforms, websites, and job boards therefore elevating brand messaging and emphasizing hiring priorities with written content, custom “now hiring” graphics, and event marketing materials.","One-Time","$500.00","One-Time","0","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 34 of 413"
"RM","isolved Hiring Services – Brand & Social Boost","9007","A one-time service add-on that offers tailored content across social platforms, websites, and job boards therefore elevating brand messaging and emphasizing hiring priorities with written content, custom “now hiring” graphics, and event marketing materials.","One-Time","$1,000.00","One-Time","101","499","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 35 of 413"
"RM","isolved Hiring Services – Brand & Social Boost","9007","A one-time service add-on that offers tailored content across social platforms, websites, and job boards therefore elevating brand messaging and emphasizing hiring priorities with written content, custom “now hiring” graphics, and event marketing materials.","One-Time","$2,000.00","One-Time","500","no maximum","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 36 of 413"
"RM","isolved Hiring Services Jumpstart","9005","A simplified, one-time self-service hiring solution designed for organizations with fewer than 20 employees that provides quick sourcing support such as optimized job ads, brand management resources, and a competitor analysis.","One-Time","$750.00","One-Time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 37 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$300.00","Monthly","0","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 38 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$325.00","Monthly","11","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 39 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$375.00","Monthly","26","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 40 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$425.00","Monthly","51","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 41 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$475.00","Monthly","76","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 42 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$600.00","Monthly","101","150","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 43 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$825.00","Monthly","151","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 44 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$950.00","Monthly","201","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 45 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$1,050.00","Monthly","251","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 46 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$1,175.00","Monthly","301","350","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 47 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$1,275.00","Monthly","351","400","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 48 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$1,375.00","Monthly","401","450","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 49 of 413"
"RM","isolved Hiring Services Plus","9010","A hiring services solution that taps into candidate flow for teams that seek targeted sourcing services such as a dedicated account manager, access to Indeed Platinum Partner Integrations, 6,000+ job boards, employee referral program management, and more. Includes Attract & Hire.","Monthly","$1,500.00","Monthly","451","500","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 50 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$575.00","Monthly","0","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 51 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$700.00","Monthly","11","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 52 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$950.00","Monthly","26","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 53 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$1,175.00","Monthly","51","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 54 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$1,450.00","Monthly","76","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 55 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$1,975.00","Monthly","101","150","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 56 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$2,450.00","Monthly","151","200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 57 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$2,900.00","Monthly","201","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 58 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$3,375.00","Monthly","251","300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 59 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$3,825.00","Monthly","301","350","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 60 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$4,275.00","Monthly","351","400","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 61 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$4,750.00","Monthly","401","450","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 62 of 413"
"RM","isolved Hiring Services Premium","9011","A configurable hiring services solution with high-touch support offering enhanced engagement to manage both sourcing and screening needs, such as in-system interview management, candidate marketplace, and more. Includes Attract & Hire.","Monthly","$5,200.00","Monthly","451","500","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Price Book V2 (Power BI app report, PriceBook V2 workspace)","RM page (""isolved RM Price Book"") - table visual, source row 63 of 413"
